invoice_id,invoice_number,supplier_id,department_id,po_id,invoice_date,invoice_amount,currency,payment_terms_days,due_date,invoice_status,missing_po_flag,round_amount_flag,high_value_invoice_flag,invoice_due_days,duplicate_invoice_flag,supplier_name,supplier_category,supplier_country,onboarding_date,tax_id_clean,missing_tax_id_flag,bank_account,missing_bank_account_flag,department_name,business_unit,approval_threshold,po_supplier_id,po_department_id,po_date,po_amount,po_approval_status,po_buyer,payment_count,first_payment_date,last_payment_date,total_paid_amount,weekend_payment_flag,cash_payment_flag,pending_or_failed_payment_flag,payment_methods,payment_statuses,paid_flag,days_to_payment,days_late,payment_before_invoice_flag,late_payment_flag,very_late_payment_flag,payment_amount_difference,payment_amount_difference_pct,payment_amount_mismatch_flag,po_supplier_mismatch_flag,po_department_mismatch_flag,po_amount_difference,po_amount_difference_pct,invoice_exceeds_po_amount_flag,po_not_approved_flag,above_department_threshold_flag,invoice_month,invoice_quarter,invoice_year,audit_payment_status,duplicate_invoice_strict_flag,duplicate_invoice_number_amount_flag,previous_invoice_date_same_supplier_amount,days_since_previous_same_amount,same_supplier_same_amount_close_date_flag,audit_duplicate_risk_flag,audit_raw_risk_score,audit_rule_count,R01_missing_po_flag,R02_audit_duplicate_risk_flag,R03_round_amount_flag,R04_high_value_invoice_flag,R05_missing_tax_id_flag,R06_payment_before_invoice_flag,R07_very_late_payment_flag,R08_payment_amount_mismatch_flag,R09_weekend_payment_flag,R10_cash_payment_flag,R11_pending_or_failed_payment_flag,R12_po_supplier_mismatch_flag,R13_po_department_mismatch_flag,R14_invoice_exceeds_po_amount_flag,R15_po_not_approved_flag,R16_above_department_threshold_flag,audit_risk_score,audit_risk_level,primary_risk_driver
INV0000001,FCT-634138,SUP00091,DPT009,PO0002176,2024-03-06,1082.2,EUR,30,2024-04-05,Validated,0,0,0,30,0,Supplier_0091,IT Services,Algeria,2019-11-26,TAX-72687094,0,DZ899528907755,0,Risk Management,Commercial,10000,SUP00091,DPT010,2024-08-20,20925.59,Approved,Buyer_B,1,2024-06-11,2024-06-11,1071.97,0,0,0,Bank Transfer,Completed,1,97.0,67.0,0,1,1,-10.230000000000018,-0.9452966180003711,0,0,1,-19843.39,-94.82834175762785,0,0,0,3,1,2024,Very Late Payment,0,0,,,0,0,22,2,0,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,11.83,Low Risk,R13 - PO department mismatch
INV0000002,FCT-562234,SUP00057,DPT002,PO0003629,2024-07-06,17142.87,DZD,15,2024-07-21,Validated,0,0,0,15,0,Supplier_0057,Training,Tunisia,2015-09-30,TAX-50466941,0,DZ343627085345,0,Procurement,Operations,50000,SUP00057,DPT002,2024-03-31,2125.79,Approved,Buyer_A,1,2024-07-31,2024-07-31,17212.18,0,0,0,Card,Completed,1,25.0,10.0,0,1,0,69.31000000000131,0.4043080301023184,0,0,0,15017.079999999998,706.4234943244628,1,0,0,7,3,2024,Late Payment,0,0,,,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5.38,Low Risk,R14 - Invoice exceeds PO amount
INV0000003,FCT-647518,SUP00011,DPT002,,2024-06-22,1411.51,DZD,30,2024-07-22,Validated,1,0,0,30,0,Supplier_0011,Marketing Services,Germany,2023-04-15,TAX-35848153,0,DZ837279891363,0,Procurement,Operations,50000,,,,,,,1,2024-07-19,2024-07-19,1372.62,0,0,0,Bank Transfer,Completed,1,27.0,-3.0,0,0,0,-38.8900000000001,-2.755205418310894,0,0,0,,,0,0,0,6,2,2024,Paid On Time or Early,0,0,,,0,0,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,Low Risk,R01 - Invoice without purchase order
INV0000004,FCT-802936,SUP00017,DPT006,,2024-10-24,3925.9,DZD,90,2025-01-22,Validated,1,0,0,90,0,Supplier_0017,Logistics,Algeria,2017-05-25,MISSING_TAX_ID,1,DZ553760743951,0,Marketing,Support,100000,,,,,,,1,2025-02-10,2025-02-10,3979.98,0,0,0,Bank Transfer,Completed,1,109.0,19.0,0,1,0,54.07999999999993,1.3775185307827487,0,0,0,,,0,0,0,10,4,2024,Late Payment,0,0,,,0,0,22,2,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,11.83,Low Risk,R01 - Invoice without purchase order
INV0000005,FCT-449867,SUP00004,DPT009,PO0000920,2024-09-19,15000.0,DZD,60,2024-11-18,Pending Review,0,1,0,60,0,Supplier_0004,Professional Services,Turkey,2019-12-31,TAX-81427183,0,DZ687031845818,0,Risk Management,Commercial,10000,SUP00004,DPT009,2024-01-04,9356.02,Approved,Buyer_A,1,2024-12-20,2024-12-20,15345.5,0,0,0,Bank Transfer,Completed,1,92.0,32.0,0,1,1,345.5,2.3033333333333332,0,0,0,5643.98,60.324582461345734,1,0,1,9,3,2024,Very Late Payment,0,0,2024-04-22,150.0,0,0,32,4,0,0,6,0,0,0,10,0,0,0,0,0,0,10,0,6,17.2,Medium Risk,R14 - Invoice exceeds PO amount
INV0000006,FCT-680723,SUP00063,DPT010,PO0003646,2024-10-24,7748.86,DZD,30,2024-11-23,Validated,0,0,0,30,0,Supplier_0063,Professional Services,United Kingdom,2021-09-14,TAX-99262693,0,DZ100960718520,0,Customer Support,Corporate,10000,SUP00063,DPT012,2024-09-07,14298.35,Pending,Buyer_C,1,2024-11-15,2024-11-15,7653.9,0,0,0,Bank Transfer,Completed,1,22.0,-8.0,0,0,0,-94.96000000000004,-1.2254705853506198,0,0,1,-6549.490000000001,-45.80591466847574,0,1,0,10,4,2024,Paid On Time or Early,0,0,,,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,12.9,Low Risk,R15 - PO not approved
INV0000007,FCT-487368,SUP00056,DPT004,PO0003562,2024-06-05,3532.68,DZD,15,2024-06-20,Validated,0,0,0,15,0,Supplier_0056,Training,France,2024-05-05,TAX-98917394,0,DZ446832532771,0,Operations,Technology,10000,SUP00055,DPT004,2024-02-29,18091.23,Approved,Buyer_C,1,2024-06-29,2024-06-29,3533.0,1,0,0,Card,Completed,1,24.0,9.0,0,1,0,0.3200000000001637,0.009058278700594556,0,1,0,-14558.55,-80.47296949958627,0,0,0,6,2,2024,Late Payment,0,0,,,0,0,25,2,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,0,13.44,Low Risk,R12 - PO supplier mismatch
INV0000008,FCT-709390,SUP00002,DPT011,PO0001876,2024-04-29,980.58,DZD,45,2024-06-13,Validated,0,0,0,45,0,Supplier_0002,Training,Germany,2018-07-07,TAX-77575471,0,DZ797161493162,0,Logistics,Technology,25000,SUP00002,DPT011,2024-02-12,4730.92,Approved,Buyer_F,1,2024-06-22,2024-06-22,995.14,1,0,0,Bank Transfer,Completed,1,54.0,9.0,0,1,0,14.559999999999945,1.4848355055171374,0,0,0,-3750.34,-79.27295325222155,0,0,0,4,2,2024,Late Payment,0,0,,,0,0,5,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2.69,Low Risk,R09 - Weekend payment
INV0000009,FCT-441135,SUP00279,DPT010,PO0000722,2024-08-25,1498.44,DZD,30,2024-09-24,Pending Review,0,0,0,30,0,Supplier_0279,Office Supplies,Morocco,2020-01-07,TAX-36727958,0,DZ296833803536,0,Customer Support,Corporate,10000,SUP00279,DPT010,2024-01-02,4352.48,Rejected,Buyer_E,1,2024-09-17,2024-09-17,1496.4,0,0,0,Bank Transfer,Completed,1,23.0,-7.0,0,0,0,-2.0399999999999636,-0.13614158725073833,0,0,0,-2854.0399999999995,-65.57273094879241,0,1,0,8,3,2024,Paid On Time or Early,0,0,,,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6.45,Low Risk,R15 - PO not approved
INV0000010,FCT-279335,SUP00016,DPT010,PO0000428,2024-09-21,1790.48,USD,45,2024-11-05,Validated,0,0,0,45,0,Supplier_0016,Consulting,United Arab Emirates,2022-10-18,TAX-99403163,0,DZ777096022989,0,Customer Support,Corporate,10000,SUP00016,DPT010,2024-01-06,15490.51,Approved,Buyer_D,1,2024-10-18,2024-10-18,1782.42,0,0,0,Bank Transfer,Completed,1,27.0,-18.0,0,0,0,-8.059999999999945,-0.45015861668379126,0,0,0,-13700.03,-88.4414393070338,0,0,0,9,3,2024,Paid On Time or Early,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,No Exception,No Exception
