supplier_id,supplier_name,supplier_category,supplier_country,onboarding_date,payment_terms_days,tax_id,bank_account,missing_tax_id_flag,missing_bank_account_flag,tax_id_clean
SUP00001,Supplier_0001,Training,Turkey,2020-02-17,45,TAX-14868708,DZ492684993724,0,0,TAX-14868708
SUP00002,Supplier_0002,Training,Germany,2018-07-07,90,TAX-77575471,DZ797161493162,0,0,TAX-77575471
SUP00003,Supplier_0003,Office Supplies,Turkey,2024-05-16,45,TAX-67358568,DZ131354515251,0,0,TAX-67358568
SUP00004,Supplier_0004,Professional Services,Turkey,2019-12-31,45,TAX-81427183,DZ687031845818,0,0,TAX-81427183
SUP00005,Supplier_0005,Consulting,Algeria,2022-11-17,30,TAX-84459703,DZ840814585673,0,0,TAX-84459703
SUP00006,Supplier_0006,Telecom,Algeria,2022-03-07,60,TAX-29075914,DZ251200763719,0,0,TAX-29075914
SUP00007,Supplier_0007,Telecom,Germany,2020-06-10,30,TAX-28957574,DZ232177361339,0,0,TAX-28957574
SUP00008,Supplier_0008,Logistics,France,2023-08-22,30,TAX-93140497,DZ874720876257,0,0,TAX-93140497
SUP00009,Supplier_0009,IT Services,Algeria,2016-04-01,30,TAX-57792402,DZ840812148954,0,0,TAX-57792402
SUP00010,Supplier_0010,Facilities,Algeria,2023-12-23,15,TAX-49419063,DZ585047589637,0,0,TAX-49419063
SUP00011,Supplier_0011,Marketing Services,Germany,2023-04-15,30,TAX-35848153,DZ837279891363,0,0,TAX-35848153
SUP00012,Supplier_0012,Training,Algeria,2019-11-28,15,TAX-67511227,DZ183480469681,0,0,TAX-67511227
SUP00013,Supplier_0013,Professional Services,Tunisia,2022-02-23,30,TAX-77856270,DZ455033366144,0,0,TAX-77856270
SUP00014,Supplier_0014,Telecom,Algeria,2020-01-27,45,TAX-10207789,DZ764017800494,0,0,TAX-10207789
SUP00015,Supplier_0015,Telecom,Algeria,2017-08-14,30,TAX-59737421,DZ331706763391,0,0,TAX-59737421
SUP00016,Supplier_0016,Consulting,United Arab Emirates,2022-10-18,30,TAX-99403163,DZ777096022989,0,0,TAX-99403163
SUP00017,Supplier_0017,Logistics,Algeria,2017-05-25,90,,DZ553760743951,1,0,MISSING_TAX_ID
SUP00018,Supplier_0018,Marketing Services,Algeria,2018-01-24,45,TAX-35280674,DZ775239389152,0,0,TAX-35280674
SUP00019,Supplier_0019,Marketing Services,France,2023-03-01,30,TAX-89031746,DZ518211674071,0,0,TAX-89031746
SUP00020,Supplier_0020,IT Services,United Arab Emirates,2018-09-28,30,TAX-15585679,DZ431113906199,0,0,TAX-15585679
SUP00021,Supplier_0021,Maintenance,Algeria,2019-10-26,60,,DZ297270294830,1,0,MISSING_TAX_ID
SUP00022,Supplier_0022,Consulting,Algeria,2015-05-29,30,TAX-51243583,DZ287541407291,0,0,TAX-51243583
SUP00023,Supplier_0023,Telecom,Germany,2016-02-17,30,TAX-81809140,DZ776341729513,0,0,TAX-81809140
SUP00024,Supplier_0024,Professional Services,Morocco,2015-07-19,60,TAX-49065297,DZ207019313230,0,0,TAX-49065297
SUP00025,Supplier_0025,Facilities,Algeria,2015-09-14,30,TAX-23709403,DZ177384115099,0,0,TAX-23709403
SUP00026,Supplier_0026,Telecom,Algeria,2023-06-19,45,TAX-80887187,DZ258662228519,0,0,TAX-80887187
SUP00027,Supplier_0027,Logistics,Algeria,2023-03-17,45,TAX-66905452,DZ257811860308,0,0,TAX-66905452
SUP00028,Supplier_0028,Facilities,Algeria,2023-01-04,45,TAX-54706429,DZ840796860525,0,0,TAX-54706429
SUP00029,Supplier_0029,Marketing Services,Algeria,2015-07-17,30,TAX-45363464,DZ458655961126,0,0,TAX-45363464
SUP00030,Supplier_0030,Logistics,France,2015-10-04,30,,DZ991349611623,1,0,MISSING_TAX_ID
SUP00031,Supplier_0031,Facilities,Algeria,2017-09-25,30,TAX-92966719,DZ223490132011,0,0,TAX-92966719
SUP00032,Supplier_0032,Logistics,Algeria,2020-07-05,30,TAX-68289527,DZ688185843123,0,0,TAX-68289527
SUP00033,Supplier_0033,IT Services,Spain,2018-04-04,60,TAX-38724084,DZ503856556480,0,0,TAX-38724084
SUP00034,Supplier_0034,Marketing Services,France,2019-10-02,30,TAX-47254334,DZ453626359026,0,0,TAX-47254334
SUP00035,Supplier_0035,Telecom,Algeria,2016-09-07,45,TAX-75356210,DZ887575779147,0,0,TAX-75356210
SUP00036,Supplier_0036,Consulting,United Kingdom,2022-02-14,45,TAX-74760823,DZ978036081244,0,0,TAX-74760823
SUP00037,Supplier_0037,Marketing Services,Spain,2018-01-22,45,TAX-51498948,DZ885573062895,0,0,TAX-51498948
SUP00038,Supplier_0038,Consulting,Spain,2015-08-25,30,TAX-37261035,DZ273070611131,0,0,TAX-37261035
SUP00039,Supplier_0039,Professional Services,Algeria,2022-03-28,30,TAX-69395616,DZ298718129087,0,0,TAX-69395616
SUP00040,Supplier_0040,Marketing Services,Algeria,2023-10-19,90,TAX-69240960,DZ690466491184,0,0,TAX-69240960
